PRODUCT_ID,PRODUCT_NAME,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL,STYLE,SIZE,SwatchColors,BaseProduct
29532,Snowboard Ski Tool Toko Side Edge Tuning Angle Pro 87 Grad,Negative side and blade angle for professional blade tuning. The tool used by alpine World Cup pros.,21.21,Toko|skigear|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wxMzU3fGltYWdlL2pwZWd8YVcxaFoyVnpMMmcxWWk5b1pHRXZPRGM1TmpZMU9EQTBNRGcyTWk1cWNHY3wzMjUxM2YyZjMyNThiMjM5ZWZmMjcxNDE2ZWJjYzI1NTNlZWExYjFhZTdmMjczOGEzNzRhNTVjZGNiNzMzYjU5,,,,29532
30404,Shades Von Zipper Papa G black gloss black gloss/grey,Like a chunk of fudge on december 26th this super-sized piece of eye candy is the gift that keeps on giving into the New Year and doesn't melt in your hand or cause love handles,67.96,Von Zipper|sunglasses|240100|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wxNjQyfGltYWdlL2pwZWd8YVcxaFoyVnpMMmhtTnk5b01qa3ZPRGM1TmpZMk16STRNemMwTWk1cWNHY3xkMDNiNDY0YWMxZmRmNzA2M2FjMmIzYTE3NGVjODM0NzU2MTI5MTM4NGM1NDAxZjlmMWNhZWFiMjQ5YTI1ZmE2,,,,30404
45573,Snowboard Ski Tool Toko Scraper Sharpener World Cup,Plexiblade sharpener for 3 4 5 and 6 mm (1/8? 3/16? 5/32? and 1/4?) blade width. With ceramic disc.<br>Level: Ambitious,30.56,Toko|skigear|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wxOTUyfGltYWdlL2pwZWd8YVcxaFoyVnpMMmcyTXk5b1lXSXZPRGM1TmpZMk16ZzNNelUyTmk1cWNHY3xlODE2ZDM1NzUzOGQ1Njk3NGIxODc1Mzg5YTY1MDZlZDE4Y2EzNzIwNjJiMjcxNWM1ZTBmY2IwNjgyOTA4NWZj,,,,45573
45574,Snowboard Ski Tool Toko Plexiklinge 3 mm/flexibel,,4.26,Toko|skigear|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wxNzA2fGltYWdlL2pwZWd8YVcxaFoyVnpMMmc0TWk5b05ESXZPRGM1TmpZMk16a3pPVEV3TWk1cWNHY3xiODNjYTQwNjRiOTgxN2MwNjRjMDY4NWQ4NDk3NjYxNmExNjczMWQzMTI5YjU3OGZlZGE5M2M5Y2ZjZGFhN2Q4,,,,45574
45576,Snowboard Ski Tool Toko Skibürste Kombi Nylon/Kupfer,An economical brush option of 1/2 nylon and 1/2 copper.,12.86,Toko|skigear|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wyMzg4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmc1WVM5b05HUXZPRGM1TmpZMk5EQXdORFl6T0M1cWNHY3w2YWE0NzQ1ZjQ0MDZkOWYyMzIzMTVhZWI1MjI4OTEyY2FmNjRhZWEyYjIxMzVjYzQzYTNhMGE0YzQ3OGYxNTU5,,,,45576
45577,Snowboard Ski Tool Toko Thermo Pad,,5.12,Toko|skigear|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wyMTY3fGltYWdlL2pwZWd8YVcxaFoyVnpMMmczT0M5b1pEa3ZPRGM1TmpZMk5EQTNNREUzTkM1cWNHY3xlNDhkMTkwMTllZTBmYmE4ZGFiMzc1NGE1ZmNiMGZlNzAwYWJmZDA1OGJlYThhYTI5NjY3N2Q2OWIzOGEwODk1,,,,45577
300013358,Snowboard Ski Tool Red FBI 6,A pit crew for your pocket.,16.96,Red|tools|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wyNjIyfGltYWdlL2pwZWd8YVcxaFoyVnpMMmcyWmk5b01qY3ZPRGM1TmpZMU9ESXpOelEzTUM1cWNHY3wxOGJlODNkMmJiMWRiM2RkYTE3NDk0OTU5NDc2ZTc3ZDVhNjEyYWEzMzE4MjgzZTU0ZjNmOGI1YzM3N2I4NTk5,,,,300013358
300020294,Shade Accessories Spy Omega Lens persimmon,Replacement lens for the Omega from Spy/ persimmon,19.51,Spy|goggles,/medias/?context=bWFzdGVyfGltYWdlc3wyNzA1fGltYWdlL2pwZWd8YVcxaFoyVnpMMmcwT0M5b05tRXZPRGM1TmpZMU9ETTJPRFUwTWk1cWNHY3xjOTZkNTUwYTJjYTRjMDk4NTE1ZDNlNWM0NTdmNDQ4NjZhY2M3ZDkwMTE0NTU4MWJmNTBlM2E0ZmZhNjAwOWEx,,,,300020294
300022348,Wax Toko S3 Hydro Carbon Set 120 g yellow/red,,42.65,Toko|skigear|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wyNzA0fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhsTUM5b05tSXZPRGM1TmpZMU9EUXpOREEzT0M1cWNHY3xkODJlNmIwMmUyMWU3YWRhYWFkMDRlZTE3ZDk3MmRjYmMxNjQ4MjY4OGIyNDIwODE2ODM2YWYzNWMyMzI3ZjUx,,,,300022348
300044601,Snowboard Ski Tool Toko Base File Radial,Radial file for working on ski and snowboard bases. For good material removal.,15.26,Toko|skigear|100200|snow,/medias/?context=bWFzdGVyfGltYWdlc3wyNTAzfGltYWdlL2pwZWd8YVcxaFoyVnpMMmhoTUM5b09HVXZPRGM1TmpZMU9UQTRPVFF6T0M1cWNHY3xhNzUxYmExYzNmMGRjMzNlMWNhYmRhYzM4YzljOTE0ZmM0MzBjNzA0Y2JjMDM1MTRiNDU2NDk4ZTY1YzBhMzFj,,,,300044601
300044617,Shades Anon Convict black fade grey gradient,Anon Convict sunglasses in a black fade frame with grey gradient lenses. The Convict offers a medium fit with medium coverage.,67.96,Anon|sunglasses|210100,/medias/?context=bWFzdGVyfGltYWdlc3wxNzUzfGltYWdlL2pwZWd8YVcxaFoyVnpMMmhtWlM5b1pqSXZPRGM1TmpZMU9URTFORGszTkM1cWNHY3xiZGRjN2EzNTc1ZjhjMWJkZDNiNGMzNjlmZDVhYmRhYWU5ZGJhOWQxZjFkMWYxMDEzYjllMTQwNGNkYzg0ZDgz,,,,300044617
